Butyrate,Acetate,Lactate,Succinate,OD
34.7044,28.1079,16.0937,13.2709,2.663
48.8304,20.3737,0,14.9884,2.077
38.7498,29.9499,18.1211,12.3784,2.321
35.3431,31.9224,24.487,9.3619,2.251
43.7484,27.5788,0,16.4108,2.19
28.702,34.854,22.8934,16.3865,2.104
48.9384,13.0285,0,5.7622,1.779
28.9454,37.8862,31.4408,6.3556,2.103
33.5432,30.4188,22.9854,7.8827,2.334
40.603,21.1707,0,17.8798,2.058
27.238,36.3584,30.2746,5.8272,2.136
47.1211,15.1568,0,15.0856,1.83
32.395,33.1388,20.3489,7.9399,2.232
43.7366,22.9387,0,13.1972,1.989
21.6644,38.8076,34.1716,6.7413,2.643
48.1108,30.155,2.0277,2.8059,1.887
29.0417,24.6746,19.6615,23.5687,2.65
42.4253,20.2517,5.3219,11.075,2.299
44.9208,15.5368,0,16.3625,2.488
53.4087,20.6469,0,7.0761,1.984
44.1491,18.5561,0,14.1298,2.442
40.4109,22.816,0,16.2969,2.224
41.8186,27.9401,4.6313,9.8795,2.001
25.2409,32.3104,35.5945,0,1.963
27.5605,30.8461,26.8015,12.7368,2.244
49.7487,16.7524,0,12.7904,1.785
41.8876,36.4748,0,26.1865,2.701
42.4693,10.7933,0,21.6806,1.867
22.747,20.7756,13.1545,17.315,2.601
34.1486,20.7826,13.7447,19.0646,2.495
41.1015,16.1954,0,27.9881,2.55
41.1746,21.1231,0,18.744,1.813
43.5362,24.3713,0,7.777,1.729
30.1151,37.1513,25.3367,4.9763,2.063
41.0027,22.3492,6.6435,12.873,2.278
29.4479,37.3109,30.6993,6.4618,2.581
34.6517,24.9042,16.7118,18.758,2.674
53.2412,8.4148,0,9.21,1.363
53.4429,11.2333,4.7815,8.8833,1.548
44.571,16.2727,9.6585,11.3264,1.89
48.5221,12.6064,0,18.3197,1.797
28.7848,25.1964,31.1664,15.8973,2.17
33.8227,31.4282,21.1842,5.8005,2.156
27.7389,39.9758,29.0274,5.1319,2.037
32.8677,42.7095,17.4055,17.6017,2.172
26.2569,37.8665,23.7363,11.6842,2.023
